GaiaDR3_ID,age_Myr,prot_lit,prot_tars,BPRP0,BPRP0_err,G0,G0_err,parallax,parallax_error,MG
1003351437484254464,11480.0,,,1.4823031,0.0141580078699562,8.119934,0.0100027228471966,59.424249482578375,0.024761679,6.98976568942085
1008018211509401728,1350.0,,,1.1684129017579474,0.0141658144508964,6.150269794157435,0.0100020723604547,8.618245756784368,0.019809095,0.8277984814921702
101040381244467968,690.0,,,1.172967686297698,0.0162370177506529,6.200277047914972,0.0112987402683015,7.1459366254238725,0.02112961,0.4703990815228787
1011435012611767552,3100.0,,,0.7366253197093483,0.0141504359740959,8.859570536442314,0.0100044905588001,10.10308178659593,0.023471216,3.8812867974884178
1022456104850892928,4000.0,,,1.8464499,0.0141649004722071,7.054455,0.0100034164923885,157.9151021260602,0.021135049,8.046516880289825
1023492257121204352,2400.0,,,1.1628292378789622,0.0144230834552719,10.074828244277242,0.0101810024623439,1.178816868393003,0.016388357,0.4298450857520794
1023967108706495360,9700.0,,,2.090974486572151,0.0142725762724621,14.654925261998612,0.0100059269027311,5.3767510954662034,0.03776022,8.308420559852571
1044013542142711296,8000.0,,14.6908,2.372978455292059,0.01425282300912,13.6338179828703,0.0100070132493848,12.588657407095411,0.013927378,9.13346429192576
1048109222955337600,7500.0,,20.1112,1.563188018094066,0.0141834064515885,13.671678251032004,0.0100039391396026,4.696560152148793,0.012362588,7.031641514208353
105332908999068032,6390.0,,,0.85881996,0.0141927050773694,7.262336,0.0100027863250594,26.498272306558512,0.025848946,4.3786991496427445
1053809778428567680,6700.0,,21.7861,1.5540078594732942,0.0141913323684452,11.56539887100346,0.0100067395628944,13.652041734804437,0.014727684,7.241855193083545
1070387905514406400,5300.0,41.2,,1.841305,0.0141619779495207,10.850841,0.0100020853362797,25.272665271321063,0.012562859,7.864088219538795
1074139748425931008,4900.0,,,0.9691473609410508,0.0141625971700662,10.98836819932806,0.0100050193235774,6.732812469776143,0.012559627,5.128769570379033
1076515002779544960,8300.0,,,0.8253041555269582,0.0141809644351991,11.342332776200411,0.0100220501983246,3.647548996791659,0.016437737,4.154801671766464
1076970406751899008,1980.0,,,0.5979116835214554,0.0141568587609033,8.248117009923556,0.0100034038732605,10.343980152303914,0.018026635,3.3211065238355655
1092230803512999424,4604.0,,,1.3584224983893625,0.0145475225312853,4.222471240506554,0.0100293309316336,13.231350843456516,0.11637105,-0.1674932501436501
1094545653447816064,7100.0,,,1.8490591,0.0141527621253423,11.725545,0.0100029782943221,16.440805887322185,0.016130941,7.804473574541301
1095822117729707264,1800.0,,,1.4299998366354936,0.0145005732524579,6.511970116720107,0.0102249696807188,3.3028844730471545,0.018992512,-0.890389316555753
1101653957463314688,3600.0,,,0.6326668187497132,0.0155078741809044,12.402667952139282,0.0108812566428237,1.7268677222953048,0.011870591,3.592823084755011
1104269596843209472,4300.0,,,1.0887219687376426,0.0141564100383165,11.307869670542372,0.0100049477430901,8.077874159645141,0.027201934,5.844484271813938
1111639314047794944,4800.0,,,0.6892169588952926,0.0144509819543212,11.383168402683744,0.0101995078835901,3.121170886628327,0.020112157,3.853563059671677
1114308481603347584,1880.0,,,0.5555227992881152,0.0163622916816891,10.148425194838554,0.0114549795464832,4.337096318749176,0.023236517,3.336454276153967
1116613161053977472,1500.0,,,0.8453504687121517,0.0141492790074765,9.367232090106269,0.0100007940833967,12.346746103837114,0.010257507,4.825213436873241
1117620107545810944,5600.0,,,0.7698284057640559,0.0190611487752253,11.87569457275506,0.0132243823401039,2.3862565013587793,0.010788254,3.7654074796684434
1126422935076082176,4000.0,,4.3606,2.7800732,0.0144472888643623,14.74585,0.010016333220866,20.680068425495737,0.018971704,11.324094180422186
114340658009875072,2690.0,,,0.5136931418456048,0.0142044408692025,7.422128459603346,0.0100142217758614,11.4463028615118,0.025877804,2.7154796015999345
117190351631297152,4200.0,,,0.8948986306317286,0.0163921901444298,11.55820180379766,0.0114313949813654,2.559215577241473,0.016990077,3.599303577910023
1176209886733406592,960.0,,,1.1638427,0.0143548547295625,7.1806984,0.0100109070161228,61.31403043580429,0.042595606,6.118344360344538
1193071962699902336,7100.0,,,1.1833272809736348,0.0142585880443146,8.682877846702658,0.0100615477916307,2.4855546110925246,0.016471293,0.6588796699183987
1220404653534258816,1740.0,,,1.4140285308721308,0.0147658800958013,3.7557627977193975,0.0100240708703632,13.52005731794988,0.10230984,-0.5874430743588146
12320268307415552,1100.0,,19.978,1.2377125600738326,0.0311394181921937,12.500212365855337,0.0212970521533544,5.512022878978822,0.017568184,6.20699205167343
1247603719345703808,8200.0,,,0.9667240317654344,0.0144338170745637,11.166578928409026,0.0101399323095154,5.704545067471063,0.017442094,4.949087944970879
1255520718461480960,7500.0,,,0.7897993574714296,0.0142694832399214,12.255038288970844,0.0100718973231614,2.1696569205608385,0.012602167,3.9358128810830824
1265513389372846848,1020.0,,6.353,1.1421485358727883,0.0143101196523102,11.124133833907097,0.0100844714702984,9.93987977292951,0.022676507,6.109623482298691
1270814787767025408,5500.0,,8.6537,2.9123611,0.0143599948662787,14.143361,0.0100102493572993,21.18110396942283,0.017861065,10.773551641237438
128623485853170432,9400.0,,,1.0922004190227868,0.0207476339495491,13.46096222302416,0.014229433527098,2.781400111103455,0.020179212,5.6847908604258475
