GaiaDR3_ID,TIC_ID,sector,Tmag,skew_flux,kurt_flux,num_flares,ED_flare,median_flux,iqr_half_flux,camera,ccd,cadence_s
4931155036049677312,100100909,2,13.167,7.982226848602295,303.9927062988281,8.0,20.665735035019505,756.9003295898438,7.001847267150879,2.0,2.0,120.0
4931155036049677312,100100909,3,13.167,7.516752243041992,300.95281982421875,6.0,12.66138078967129,713.9661254882812,5.729799747467041,2.0,1.0,120.0
4931155036049677312,100100909,29,13.167,1.4500207901000977,23.576337814331055,3.0,2.50813123586211,804.9081420898438,6.370182991027832,2.0,2.0,120.0
4931155036049677312,100100909,30,13.167,0.627899706363678,7.984268188476563,4.0,2.903116146349198,746.75146484375,6.02784538269043,2.0,1.0,120.0
5769888374304313472,1003151181,65,18.1351,-0.2440572828054428,4.263282299041748,,,7.350147724151611,5.301422595977783,3.0,1.0,120.0
5769888374304313472,1003151181,66,18.1351,0.0736868381500244,0.1881520748138427,,,7.937459945678711,5.050126552581787,3.0,2.0,120.0
5785520135416957696,1003518839,65,17.7042,0.1734949648380279,2.182532787322998,,,5.321094989776611,5.062392711639404,3.0,1.0,120.0
5785520135416957696,1003518839,66,17.7042,0.0098614236339926,0.0660872459411621,,,5.24003267288208,4.92060661315918,3.0,2.0,120.0
1029222426776662656,10042970,20,12.0103,0.0341777689754962,0.0553319454193115,,,2192.321044921875,6.839447975158691,2.0,4.0,120.0
1029222426776662656,10042970,47,12.0103,-0.0091650756075978,0.0968656539916992,,,2311.9267578125,7.285151481628418,2.0,4.0,120.0
1029276134960938112,10043547,20,12.4907,7.917597770690918,263.43109130859375,,,1354.6239013671875,9.13681411743164,2.0,4.0,120.0
1029276134960938112,10043547,47,12.4907,-0.0557487718760967,-0.3424882888793945,,,1464.39697265625,10.36200714111328,2.0,4.0,120.0
2903814611300494720,100481123,5,11.6876,24.432849884033203,856.8137817382812,8.0,16.74013461326882,3349.3896484375,37.59545135498047,3.0,1.0,120.0
2903814611300494720,100481123,6,11.6876,0.144440546631813,-0.1663296222686767,8.0,2.5011192490737137,3286.393798828125,44.08632278442383,3.0,2.0,120.0
2903814611300494720,100481123,32,11.6876,-0.5723466277122498,-0.4032022953033447,12.0,1.453660986722803,3239.227783203125,77.78729248046875,3.0,1.0,120.0
2903814611300494720,100481123,33,11.6876,-0.1897492110729217,2.266963005065918,11.0,8.661476602376691,3365.982421875,72.07771301269531,3.0,2.0,120.0
2903814611300494720,100481123,87,11.6876,-0.1223987266421318,-1.3878873586654663,,,3096.70458984375,147.38136291503906,2.0,1.0,120.0
2903814611300494720,100481123,98,11.6876,-0.4893220961093902,-1.1923797130584717,,,3192.9580078125,154.71376037597656,3.0,1.0,120.0
2900935402664303616,100510452,5,11.9548,0.0032460279762744,-0.3395426273345947,4.0,3.224027749105195,2590.135498046875,65.39737701416016,3.0,1.0,120.0
2900935402664303616,100510452,6,11.9548,1.3600778579711914,18.651809692382812,8.0,17.90927410172164,2581.66796875,56.546756744384766,3.0,2.0,120.0
2900935402664303616,100510452,32,11.9548,-0.117178738117218,-0.0990211963653564,9.0,9.06411515804894,2544.75634765625,36.90034103393555,3.0,1.0,120.0
2900935402664303616,100510452,33,11.9548,1.1087403297424316,18.227184295654297,13.0,13.378659246168937,2552.89208984375,37.72978210449219,3.0,2.0,120.0
2900935402664303616,100510452,87,11.9548,-0.2825982570648193,-0.6611111164093018,,,2558.46142578125,51.68277359008789,3.0,2.0,120.0
2900935402664303616,100510452,98,11.9548,2.3921234607696533,48.71641159057617,,,2476.772216796875,17.293529510498047,3.0,1.0,120.0
2902987980417444608,100531058,5,8.58097,0.022878186777234,-0.4550104141235351,,,61013.58203125,220.5645294189453,3.0,1.0,120.0
2902987980417444608,100531058,6,8.58097,0.0133963050320744,-0.4020376205444336,,,61746.359375,229.32492065429688,3.0,2.0,120.0
2902987980417444608,100531058,32,8.58097,0.0228376239538192,-0.2548677921295166,,,61768.21875,197.2488250732422,3.0,1.0,120.0
2902987980417444608,100531058,33,8.58097,0.0223551727831363,-0.4533710479736328,,,61704.56640625,194.64187622070312,3.0,2.0,120.0
2902987980417444608,100531058,98,8.58097,0.0329271629452705,-0.189824104309082,,,60871.8203125,205.53070068359375,3.0,1.0,120.0
2902648338701768192,100608178,5,11.5775,0.2678444683551788,-0.0280261039733886,8.0,4.594365455408231,3924.361572265625,44.893104553222656,3.0,1.0,120.0
2902648338701768192,100608178,6,11.5775,0.1883780807256698,-0.2324182987213134,16.0,3.5127368106323806,3972.160400390625,44.818973541259766,3.0,2.0,120.0
2902648338701768192,100608178,32,11.5775,3.742030620574951,93.08433532714844,18.0,5.649063365973302,3787.6748046875,29.71890640258789,3.0,1.0,120.0
2902648338701768192,100608178,33,11.5775,-0.0054363245144486,-0.6388092041015625,10.0,0.5663499616766762,3883.384765625,28.179296493530273,3.0,2.0,120.0
2888118876655268096,100611936,5,9.6958,0.2768251299858093,-0.6486890316009521,,,21418.748046875,123.74593353271484,3.0,1.0,120.0
2888118876655268096,100611936,6,9.6958,0.4031490683555603,-1.0313438177108765,,,21733.2421875,110.61687469482422,3.0,2.0,120.0
2888118876655268096,100611936,32,9.6958,0.0921179428696632,-1.3160749673843384,,,21760.9921875,255.9084014892578,3.0,1.0,120.0
2888118876655268096,100611936,33,9.6958,-0.002060255035758,-1.365100979804993,,,21990.357421875,329.609375,3.0,2.0,120.0
2888118876655268096,100611936,87,9.6958,-0.3290543854236603,-1.0309866666793823,,,21812.013671875,165.54762268066406,3.0,2.0,120.0
2888118876655268096,100611936,98,9.6958,0.1476398855447769,-0.6027371883392334,,,21671.451171875,159.05250549316406,3.0,1.0,120.0
2903002965560895872,100678988,5,8.83319,0.038456417620182,-0.4986758232116699,,,47873.48828125,111.8195343017578,3.0,1.0,120.0
2903002965560895872,100678988,6,8.83319,0.0376996807754039,-0.5546984672546387,,,48585.921875,118.81616973876952,3.0,2.0,120.0
2903002965560895872,100678988,32,8.83319,0.0358856059610843,-0.4335005283355713,,,48539.140625,119.9214859008789,3.0,1.0,120.0
2903002965560895872,100678988,33,8.83319,0.0245929397642612,-0.4756014347076416,,,49237.49609375,117.56117248535156,3.0,2.0,120.0
2903002965560895872,100678988,87,8.83319,0.0400946363806724,-0.3936338424682617,,,46847.05859375,111.59093475341795,2.0,1.0,120.0
2903002965560895872,100678988,98,8.83319,0.0654482170939445,-0.3523731231689453,,,47871.3359375,115.11398315429688,3.0,1.0,120.0
4187836934609063552,100711930,54,11.2307,0.3365155756473541,0.9582962989807128,,,5131.2353515625,22.31795883178711,1.0,3.0,120.0
2903498192469914496,100722385,6,10.0418,0.0147982900962233,0.0054666996002197,,,15718.3505859375,21.074901580810547,2.0,1.0,120.0
2887775588507302784,100724993,5,10.3958,-0.4136794805526733,-0.8329153060913086,,,11354.5537109375,74.23413848876953,3.0,1.0,120.0
2887775588507302784,100724993,87,10.3958,-0.0887433737516403,-0.4378294944763183,,,11382.5068359375,30.43474578857422,3.0,2.0,120.0
2887775588507302784,100724993,98,10.3958,-0.039815280586481,-0.144428014755249,,,11213.94140625,50.43486404418945,3.0,1.0,120.0
2888663925185410432,100725810,5,10.0594,0.113879457116127,-1.2173353433609009,,,15673.5634765625,276.5550842285156,3.0,1.0,120.0
2888663925185410432,100725810,6,10.0594,0.1410746127367019,-1.322434663772583,,,15981.013671875,398.6679382324219,3.0,2.0,120.0
2888663925185410432,100725810,32,10.0594,-0.3605337142944336,-0.515906572341919,,,15615.375,73.13716888427734,3.0,1.0,120.0
2888663925185410432,100725810,33,10.0594,-0.4281032085418701,-1.036997675895691,,,15899.3193359375,98.18800354003906,3.0,2.0,120.0
2888663925185410432,100725810,87,10.0594,0.3205050528049469,-0.6164474487304688,,,15709.2060546875,82.7752914428711,3.0,2.0,120.0
2888663925185410432,100725810,98,10.0594,0.0053296899423003,-0.5306246280670166,,,15664.9873046875,75.7982406616211,3.0,1.0,120.0
2890731694240329472,100778512,6,15.8566,0.0733849704265594,0.6448497772216797,,,67.84966278076172,5.3361430168151855,3.0,2.0,120.0
4207338418290005632,100789896,54,11.4988,-0.0106953214854002,0.0872499942779541,,,3895.384521484375,10.410419464111328,1.0,3.0,120.0
2903254135248137728,100832881,6,7.81246,0.2282433807849884,0.7341721057891846,,,122310.9765625,39.80078125,2.0,1.0,120.0
2903254135248137728,100832881,98,7.81246,0.1093848794698715,0.5930585861206055,,,122900.4921875,44.0390625,3.0,1.0,120.0
221330286219241088,101036294,18,8.07462,0.3244848549365997,1.148304462432861,,,94879.2265625,39.98406219482422,1.0,4.0,120.0
221330286219241088,101036294,58,8.07462,0.1541020423173904,0.4639642238616943,,,95689.9296875,38.68671798706055,1.0,4.0,120.0
221330286219241088,101036294,86,8.07462,0.0726795718073844,0.3318309783935547,,,95794.4140625,42.12109375,1.0,3.0,120.0
