GaiaDR3_ID,age_Myr,num_refs,ref,prot_lit,prot_tars,BPRP0,BPRP0_err,G0,G0_err,parallax,parallax_error,MG
1002722963508763264,126.0,1,Feinstein2024,,,2.79650404070379,0.0334603064266376,17.323892467591502,0.0125635725273494,4.404947953970399,0.09130878,10.544696244695714
1002733958624970624,126.0,1,Feinstein2024,,2.4986,2.17424872327199,0.01690115923545,15.5803514083816,0.0110756027453321,4.300688622334176,0.034505207,8.750207176995522
1003311678969939968,126.0,1,Feinstein2024,,,2.9119235628862175,0.0585994813087432,17.820591649194252,0.0209396718008021,4.682842826002077,0.10865232,11.168971684368696
1005873614080407296,,1,Newton2016,0.31,0.31,2.8748115,0.0143759184300942,12.296865,0.0100240291747016,61.427359808084645,0.053372324,11.238135528993393
1006888463311274880,126.0,1,Feinstein2024,,0.5486,1.857450937597846,0.0627260408961237,14.418474546645763,0.0423161115173628,4.576937322979264,0.027318584,7.720556577625183
1007791368516748672,126.0,1,Feinstein2024,,20.7506,1.6047682421368166,0.0186887759333817,14.112393307617308,0.0129311223262104,4.140637873858507,0.020594353,7.199157700560386
1008186230629910272,126.0,1,Feinstein2024,,1.847,0.6626036508938283,0.0173656386941904,11.018321604249952,0.0120974446985692,3.750549877475896,0.019977959,3.8866689155296097
1009198949557703040,,1,Newton2016,1500.0,,3.194267,0.0143816565728498,14.012268,0.0100114031811421,47.444609911421296,0.026307443,12.393142314229662
1010729194865571456,,2,Newton2016;Pass2023,8.0375,,3.102136,0.0144400981701077,11.792696,0.0100160175406167,99.19303139927533,0.035657045,11.77497222666118
1010857425409529984,,1,Newton2016,3.222,,1.726312999999999,0.0141768682077706,12.065437,0.0100023180275441,16.982380857050426,0.06206829,8.216170473804928
1012005040670717312,,1,Newton2016,1.51,1.5092,3.4357205000000004,0.0198790731995404,14.857075,0.0101560595437825,32.150946924291276,0.030859783,12.392926135749889
1013110152935464192,,1,Newton2016,151.0,,3.769945999999999,0.0162806767792268,15.353457,0.0100175094896289,39.60848095386287,0.1303364,13.342692111882624
1013461034585110528,,1,Newton2016,131.7,,3.388314000000001,0.0145314261816477,14.68943,0.0100723064366786,34.46521731525653,0.29347184,12.3820963305868
1013652173512807040,401.0,1,LWRD,8.81,9.0192,2.62331,0.0145817804392828,13.238674,0.0100320466830227,23.87675491980491,0.017200503,10.12851973481296
1015570963037979264,,1,Newton2016,143.1,,2.702617,0.0142082386437742,12.89207,0.0100109054210161,51.10554009249398,0.03171999,11.434588121218164
1016640817918422272,,1,Newton2016,0.267,,2.6690390000000015,0.0141755996842118,11.779119,0.0100110337945991,53.68510103040306,0.028434312,10.428701414721976
1017617463414788096,,1,Newton2016,0.748,0.748,3.130034,0.0145686130761966,14.18955,0.0100198051284206,36.39947765343998,0.020246523,11.995156795331036
1017783146073299328,,1,Newton2016,0.581,,2.8107620000000004,0.0142566938148816,12.093691,0.0104142114915734,55.74429244545231,0.42021844,10.82097765833668
1017853411738183040,126.0,1,Feinstein2024,,17.0862,0.8481586339733235,0.0141654024762225,10.509002165145162,0.0100050523881026,6.921765646816233,0.014421096,4.711648668326038
102162639019033600,,2,Newton2016;Pass2023,1.549,2.9728,2.968400000000001,0.0144051696775645,11.529306,0.010016127792686,100.17457074186186,0.042935688,11.533219133871238
1022122334352145280,,1,Newton2016,72.59,,2.7316439999999993,0.0142017408256815,11.263366,0.0100181929436992,60.53568258897456,0.02839143,10.173414752319928
1023658936212291200,,1,Newton2016,103.2,,3.0081644999999995,0.0143059950702504,13.6148205,0.0101414385838337,28.491458888085415,0.31045002,10.88728862601972
1024245456945924736,,1,Newton2016,200.5,,3.029453,0.0144895445421282,13.904358,0.0100145255976081,31.499152250784647,0.01997389,11.396140989147634
102535064223209216,,1,Newton2016,0.972,0.9722,2.82676,0.0148467579718887,12.711509,0.0100407813940588,44.24154778220736,0.029095763,10.940687855234138
1027466506323120128,,1,Newton2016,0.588,,2.6583810000000003,0.0142589794840634,12.87302,0.0100202410238119,27.943390496287098,0.25522062,10.104326255105766
1028250599848535936,126.0,1,Feinstein2024,,14.5766,1.1208444075218833,0.014317988280009,11.680573001294832,0.0100204896327701,6.859357508317102,0.04711751,5.8606411769346085
102902468609959936,,1,Newton2016,0.984,,2.5777470000000005,0.0144651621272521,12.466409,0.0100219610395108,28.868841811315328,0.027828876,9.768404599832792
1029222426776662656,,1,Newton2016,130.2,,2.716334999999999,0.0143200868574561,13.262917,0.010016490504472,26.15085204230494,0.01651751,10.350346979947478
1029276134960938112,,1,Newton2016,1.754,,3.1252899999999997,0.0146807477309707,14.075869,0.011096824355273,32.36434173118094,0.5358811,11.623697431847772
1031475433093476352,,1,Newton2016,0.472,0.4723,3.6802379999999992,0.0186226180491657,15.273309,0.0100341320106001,38.75223041104773,0.048482552,13.213878999978585
1031735536312319360,,1,Newton2016,773.8,,2.463386,0.0142645019188356,11.94732,0.01001031865007,28.08153621720723,0.04700247,9.190110127849008
1032308656748279808,,1,Newton2016,53.51,,2.6005960000000012,0.014201243454897,12.830454,0.0100083851244092,18.207340866303987,0.020779297,9.131592238479362
103294929837184000,,1,Newton2016,0.996,,2.826366,0.0143547522897785,13.399745,0.0100301177062933,33.75424990011889,0.019865083,11.041244621638494
1033808665486561664,,1,Newton2016,1.006,,3.0447729999999993,0.0144524497844407,13.769499,0.0100209044288739,40.99227061355303,0.01768794,11.833020488051517
1038195201485531776,,1,Newton2016,0.987,,3.280887,0.0144918736010228,13.494663,0.0100234554424696,64.29296830921774,0.020353802,12.535415265684618
1039772176038068864,,1,Newton2016,0.518,0.5181,3.1947170000000007,0.0144877530250034,14.145475,0.0100139501702409,31.633766031568367,0.056172002,11.646186084267017
1041395708035677312,,1,Newton2016,142.3,,3.068297000000001,0.0142931406424838,13.642239,0.0100080621189133,56.72215556891267,0.01712597,12.411020535822503
1065727831638458880,,1,Newton2016,170.5,,2.865876,0.0143282596933672,13.693256,0.0100113962048687,43.365387484427146,0.01695173,11.879071611787396
1067390671177350912,,1,Pass2024,,1.3883,3.1237699999999986,0.0145043169215368,14.639729,0.0100159150847365,31.390807004804635,0.021264825,12.123677943516755
1067390671177351040,,1,Pass2024,,1.3887,2.8225029999999993,0.014280006329255,13.4436245,0.0100110962009424,31.405593338529417,0.014106655,10.928550558294166
1070382098718626176,,1,Newton2016,0.987,,2.830399,0.0141925149883619,12.987349,0.0100076957358344,58.27730296955546,0.015940633,11.814845874426748
1070519572033023232,,1,Newton2016,214.3,,3.0124180000000003,0.0146958386315437,12.8273325,0.010023969693011,62.299083153188725,0.021246424,11.799768534931722
1076298880025346560,,1,Newton2016,143.1,,3.3326629999999984,0.0148900661359646,14.536891,0.0100281896456207,42.70306228554142,0.02054802,12.689090946261274
1080288664125447424,,1,Newton2016,65.52,,2.7469279999999987,0.0143844090128677,13.512622,0.0100101855256781,17.609784150127517,0.024568934,9.741361956206529
1081127557137725696,,1,Newton2016,0.117,0.1165,3.9186650000000025,0.0171395799138665,15.423319,0.0100166427912564,43.70896383646345,0.043069392,13.626010920988495
1082224869741957888,,1,Newton2016,0.82,0.8207,3.1185839999999985,0.0146108656358431,12.849942,0.0100207009050454,43.284892167846394,0.032721724,11.0319873113963
1082347942028867840,126.0,1,Feinstein2024,,,0.0214000226638863,0.0153150099222003,7.9719808106097005,0.0107636376655129,4.481116808001332,0.032890253,1.2239624318864308
108606322618018432,127.4,1,Feinstein2024,,1.1082,0.6649964205342951,0.0376019279840003,9.311191291287068,0.0256507104425281,7.226324156619054,0.23053747,3.5924130137017087
1088832380575983616,,1,Newton2016,98.39,,3.4406990000000004,0.0151510720658326,14.669598,0.0100439425015934,40.24810092244185,0.027806425,12.693230358691702
1089274354184447488,126.0,1,Feinstein2024,,,2.740719610745146,0.0179605271689279,16.733420735781888,0.0102413503674387,5.17207593489139,0.06671264,10.29754465636671
1091607174261426048,,1,Newton2016,0.142,,3.2448140000000016,0.0142776430941829,14.014267,0.010008592369681,35.4987370515306,0.020282663,11.765650800764057
1092189709265324416,,1,Newton2016,474.4,,3.362637000000001,0.0152986037815291,14.563755,0.0102703620030461,23.37891570064059,0.4106402,11.394452535215285
1093115498055848064,126.0,1,Feinstein2024,,0.5277,-0.1552841041152141,0.0142470252638148,6.185416577852533,0.0100085334650491,6.289704319196816,0.12958783,0.1754919393564273
1093977549531975040,,1,Newton2016,1.012,,2.893768999999999,0.0143159681597576,13.292536,0.0100130455002434,38.98476487313703,0.014909845,11.247122594630444
1094596746378690688,,1,Newton2016,1.5,,2.831301,0.0142588923850394,13.610693,0.0100071517445074,29.094167522730388,0.016716417,10.929740936303435
1095986082399119360,,1,Newton2016,1.122,,3.341728,0.0142402907455681,13.992988,0.0100864130595915,41.53450085728966,0.24524811,12.082324531644549
1096025596098404736,,1,Newton2016,0.341,,2.6369809999999987,0.0142041060773548,13.224378,0.0100037350049732,30.76741381699855,0.013828927,10.66494335569788
109628013733250304,24.0,1,Kiman2021,,0.8568,2.824009,0.0157590519423926,11.893148,0.0100700963041876,37.03103305083388,0.050208703,9.736771625589364
1097353325107339776,,1,Newton2016,82.18,,3.7367779999999993,0.0143805018898854,13.745982,0.0103447422934528,81.41997175080597,0.38778812,13.296909356782894
1099088285736423680,126.0,1,Feinstein2024,,0.9729,-0.0190447744200769,0.0143440987003327,7.579150890514671,0.0101192315969586,5.197072293569878,0.036006022,1.1584466466754997
1099287984535646464,126.0,1,Feinstein2024,,12.7409,1.8979482996489292,0.0218195839947028,14.861156056714298,0.014942144598305,4.67972902145687,0.029773837,8.211605284479251
1099288633074163328,,2,LWRD;Newton2016,54.5,15.3423,3.270289,0.0178155866381812,12.148522,0.0100573507869895,87.04330034346951,0.049590927,11.84692478587494
1099927144388430592,126.0,1,Feinstein2024,,,0.0234262858155072,0.014732477894498,8.379381424959893,0.0103769254607818,4.49216598940163,0.030267144,1.635153839551604
1100090726807510016,,1,Newton2016,0.152,21.6227,2.7076080000000005,0.0142356289041599,12.262372,0.0100085430348429,33.31235420810589,0.068131134,9.874653216783294
1100421512304230400,,1,Newton2016,54.29,,2.59793,0.0141840951003013,12.61285,0.0100044962827777,26.39184972962297,0.024568826,9.720751542988756
1100481878068429184,126.0,1,Feinstein2024,,5.9643,0.9658916613174148,0.0151124178265433,11.977089476463536,0.0105735833310762,4.702749042311302,0.018666739,5.339042936075456
1100626257689052288,126.0,1,Feinstein2024,,,2.827202843061708,0.0266305836098069,17.326731450788586,0.013423809711322,4.441981844483119,0.08895856,10.579730582966302
1101333488479920896,126.0,1,Feinstein2024,,20.6108,1.049627804052199,0.0141886755793481,11.731427436797055,0.0100138505841871,6.028711493217502,0.020158125,5.632212758103851
1101372521142830976,126.0,1,Feinstein2024,,,3.0366462611561884,0.0299312651577886,17.530209060659164,0.0115788746050168,4.153001786526123,0.093316816,10.661919617967936
1101375338641369728,126.0,1,Feinstein2024,,8.4936,1.1310829362657049,0.0143996767335809,12.258486222066928,0.0101494767582879,4.440731230010204,0.016133936,5.4950998521145635
1101434128153853952,126.0,1,Feinstein2024,,0.3514,3.0019274234353763,0.0261414304386944,17.11674824234991,0.011100588190362,4.675997825317721,0.07480943,10.470130875554396
1101653648225876224,126.0,1,Feinstein2024,,,2.995460046565583,0.0555517640814,18.212680161598666,0.0106535982963623,4.7601944750000245,0.13565807,11.595801771336898
1101654374076602880,126.0,1,Feinstein2024,,,2.974905779581877,0.0311505059316727,17.401897227821067,0.0101581175421229,5.081932622518696,0.08451848,10.932954969379743
1101658767826701440,126.0,1,Feinstein2024,,,1.6418122935994293,0.0141892142628769,13.755158541525304,0.0100124153274705,5.292986522918986,0.016318496,7.371817523773005
1101876819022885504,126.0,1,Feinstein2024,,,-0.0850377784726056,0.0147771479924463,6.444531797300518,0.0103923050637181,4.338066063541361,0.03565759,-0.3620590206110821
1102107128053335808,126.0,1,Feinstein2024,,,3.0461291204242817,0.0421657670412091,18.075472908026043,0.0116697410036794,4.459587014567149,0.1142612,11.302159635806127
1102143003917289472,126.0,1,Feinstein2024,,,-0.1357738061800257,0.0174473984109681,17.425473193520478,0.0100337532770306,6.035286014479279,0.07847887,11.323770175709
1102291231827484800,126.0,1,Feinstein2024,,5.8109,2.031155042621317,0.0172501824165861,15.152671737598595,0.0106464752688241,4.477088223473953,0.028875045,8.4075075133066
1102318513459416576,126.0,1,Feinstein2024,,5.8513,1.6196949969582088,0.0143958097441594,14.063281842857204,0.0100988431737562,4.796880260629163,0.018176092,7.467530348586987
1102946197160979200,126.0,1,Feinstein2024,,,2.072667758777764,0.0145008686253564,14.97670835272556,0.0101592227790241,4.555419035699586,0.022772234,8.27000795524017
1103023540934364800,126.0,1,Feinstein2024,,,0.814119831730356,0.0141497020497016,10.811342182167678,0.0100027724415467,5.563278349073753,0.015304786,4.536841478824359
1103471110884516480,,1,Newton2016,0.924,,2.809686000000001,0.014224331114234,12.752486,0.0100076913487865,31.661016348081223,0.02459765,10.254752938166677
110348743606461312,,1,Newton2016,0.215,,3.3156589999999984,0.0149131393181074,14.929986,0.0100391597002829,31.17436476507109,0.040765453,12.398456994326688
1104430744016172544,,1,Newton2016,124.1,,3.153655999999998,0.0143168302594559,14.249336,0.0100085943431368,35.30600197440412,0.02130256,11.988567211365318
1104663462524860288,,1,Newton2016,20.07,19.5861,2.990124999999999,0.0147790057379054,13.908,0.0100249201140273,20.69510946247193,0.023362827,10.487093514495491
1104878103513141760,,1,Newton2016,122.9,,3.1079489999999996,0.0143932799755851,13.014433,0.0100212181767761,52.9283073067844,0.021436347,11.633061924564636
1105266338496796032,126.0,1,Feinstein2024,,,0.5990609826640263,0.0146976980274286,10.375374262280667,0.0103608386963471,4.105581788299798,0.025237981,3.444160544114789
1105406320070108288,126.0,1,Feinstein2024,,,2.8149760990854062,0.0189447333598591,16.975584106969453,0.010137105275703,5.241493433387872,0.061937228,10.575238854597709
1105576813092276864,126.0,1,Feinstein2024,,,2.886205073581234,0.0409189999562202,17.506979356066815,0.0212033263567172,4.448544773559456,0.08801751,10.749076977257282
1105580145986889472,126.0,1,Feinstein2024,,,1.3689676505577997,0.0159838622204854,13.80818640021817,0.011157954770762,4.1513537432048615,0.015418893,6.89903326437909
1105667625877763712,126.0,1,Feinstein2024,,,3.183771711856367,0.0431417141794802,17.67269977398226,0.0208732695247866,4.341511673306532,0.12250348,10.883082359918117
1105745450685047808,126.0,1,Feinstein2024,,,2.5361313131314978,0.0287377857965047,16.654872554626518,0.0179281652528657,4.382683832110884,0.060191236,9.86194664214306
1105902749568357888,126.0,1,Feinstein2024,,0.6748,2.0463467165322164,0.0187825421296041,15.148199199379947,0.0125955095981069,4.375160919886621,0.024008404,8.352359752494683
1106283180593165696,,1,Newton2016,0.241,,2.662991,0.0155290383042388,12.539771,0.0100032398864127,32.66973023725334,0.018898822,10.110267865940337
1106760025043937664,126.0,1,Feinstein2024,,,2.009830364276405,0.0141979006828459,14.158217819404562,0.0100046815590698,5.743219191265007,0.04111313,7.9579925603008945
1106808540994315648,126.0,1,Feinstein2024,,,3.080601125267508,0.0278835045000275,17.38514656376771,0.0101174526607188,5.316534842373356,0.07728138,11.023834743475351
